nestbox,tag,tag2,rfid,date,band_number,ringing_age,sex
Ha148,,,989001026313034,2018-04-18T00:00:00Z,GG27972,2018 adult,F
Ha152,,,989001026313011,2018-04-18T00:00:00Z,GG24019,2007,F
Ha164,,,989001026312950,2018-04-18T00:00:00Z,GG31663,2017 adult,M
Ha160,4778,added on 1/5/18,989001026312947,2018-04-22T00:00:00Z,GG27973,2018 adult,F
Ha157,4795,added on 1/5/18,989001026313006,2018-04-22T00:00:00Z,GG31657,2017 adult,F
Ha246,,,989001026312970,2018-04-23T00:00:00Z,GG31076,2016,M
Ha53,4793,,989001026346980,2018-04-23T00:00:00Z,GG31056,2016 adult,F
Ha252,,,989001026347031,2018-04-24T00:00:00Z,GG31073,2016,M
Ha214,4788,,989001026312984,2018-04-29T00:00:00Z,GG23204,2013adult,F
Ha250,4779,,989001026312952,2018-04-29T00:00:00Z,GG24120,2015,F
Ha223,4797,,989001026312959,2018-04-30T00:00:00Z,GG27974,2018 adult,F
Ha221,,,989001026312958,2018-04-30T00:00:00Z,GG27739,2016,F
Ha231,4789,,989001026313001,2018-04-30T00:00:00Z,GG27975,2018 adult,F
Ha236,,,989001026312981,2018-04-30T00:00:00Z,GG31682,2017 adult,F
Ha140,4782,,989001026313016,2018-05-02T00:00:00Z,GG31694,2017 adult,F
Ha225,4783,,989001026312948,2018-05-02T00:00:00Z,GG27976,2018 adult,F
Ha222,4780,,989001026312965,2018-05-06T00:00:00Z,GG27977,2018 adult,F
Ha259,,,989001026312986,2018-05-06T00:00:00Z,GG25729,2014,F
Ha214,4796,,989001026312982,2018-05-06T00:00:00Z,GG17716,2010,M
Ha226,,,989001026312956,2018-05-09T00:00:00Z,GG27978,2018 adult,F
Ha211,,,989001026312979,2018-05-09T00:00:00Z,GG27979,2018 adult,F
Ha151,,,989001026312975,2018-05-10T00:00:00Z,GG27980,2018 adult,F
Ha247,,,989001026312944,2018-05-10T00:00:00Z,GG27981,2018 adult,F
Ha217,4791,,989001026346996,2018-05-13T00:00:00Z,GG27982,2018 adult,F
Ha229,,,989001026346949,2018-05-13T00:00:00Z,GG27983,2018 adult,F
Ha157,4790,,989001026346984,2018-05-15T00:00:00Z,GG31658,2017 adult,M
Ha231,4915,,989001026346966,2018-05-16T00:00:00Z,GG27984,2018 adult,M
Ha213,,,989001026347014,2018-05-21T00:00:00Z,GG27985,2018 adult,F
Ha247,,,98900102631303,2018-05-22T00:00:00Z,GG27986,1,
Ha247,4752,,989001026313007,2018-05-22T00:00:00Z,GG27987,1,
Ha247,4728,,989001026313023,2018-05-22T00:00:00Z,GG27988,1,
Ha247,4747,,989001026312967,2018-05-22T00:00:00Z,GG27989,1,
Ha247,,,98900102631299,2018-05-22T00:00:00Z,GG27990,1,
Ha247,4743,,989001026312985,2018-05-22T00:00:00Z,GG27991,1,
Ha223,4907,,989001026312971,2018-05-23T00:00:00Z,GG31977,2017,M
Ha100,,,989001026346972,2018-05-28T00:00:00Z,GG25853,2018 adult,F
Ha140,4757,,989001026312962,2018-05-27T00:00:00Z,GG27997,1,
Ha140,,,989001026313037,2018-05-27T00:00:00Z,GG27998,1,
Ha140,4748,,989001026312998,2018-05-27T00:00:00Z,GG27999,1,
Ha140,4754,,989001026312978,2018-05-27T00:00:00Z,GG28000,1,
Ha140,4753,,989001026312977,2018-05-27T00:00:00Z,GG25851,1,
Ha140,,,989001026312943,2018-05-27T00:00:00Z,GG25852,1,
Ha402,,,989001026347029,2018-05-30T00:00:00Z,GG25862,2018 adult,F
Ha226,,,98900102631301,2018-05-30T00:00:00Z,GG25868,2018 adult,M
Ha205,,,989001026312946,2018-05-30T00:00:00Z,GG25854,1,
Ha205,,,989001026312949,2018-05-30T00:00:00Z,GG25855,1,
Ha205,,,98900102631298,2018-05-30T00:00:00Z,GG25856,1,
Ha205,,,989001026312954,2018-05-30T00:00:00Z,GG25857,1,
Ha205,,,989001026312997,2018-05-30T00:00:00Z,GG25858,1,
Ha402,,,989001026313012,2018-05-30T00:00:00Z,GG25859,1,
Ha402,,,989001026313029,2018-05-30T00:00:00Z,GG25860,1,
Ha402,,,989001026312991,2018-05-30T00:00:00Z,GG25861,1,
Ha401,,,989001026312961,2018-05-30T00:00:00Z,GG25863,1,
Ha401,,,98900102631296,2018-05-30T00:00:00Z,GG25864,1,
Ha401,,,989001026312945,2018-05-30T00:00:00Z,GG25865,1,
Ha401,,,989001026312969,2018-05-30T00:00:00Z,GG25866,1,
Ha401,,,989001026347015,2018-05-30T00:00:00Z,GG25867,1,
Ha250,4761,,989001026313005,2018-05-31T00:00:00Z,GG25869,1,
Ha250,4759,,98900102634704,2018-05-31T00:00:00Z,GG25870,1,
Ha217,4910,,989001026346948,2018-06-06T00:00:00Z,GG25871,2018 adult,M
Ha213,4912,,98900102634696,2018-06-07T00:00:00Z,GG25032,2013,M
HN2,,,989001026346995,2018-06-06T00:00:00Z,GG25872,1,
HN2,4764,,989001026312941,2018-06-06T00:00:00Z,GG25873,1,
HN2,,,989001026346973,2018-06-06T00:00:00Z,GG25874,1,
HN2,4762,,989001026313002,2018-06-06T00:00:00Z,GG25875,1,
HN2,4726,,989001026347009,2018-06-06T00:00:00Z,GG25876,1,
Ha190,,kobi,989001026347039,2018-06-10T00:00:00Z,GG35496,1,
Ha190,,kobi,989001026347006,2018-06-10T00:00:00Z,GG35497,1,
Ha190,,kobi,989001026347035,2018-06-10T00:00:00Z,GG35498,1,
Ha193,,kobi,989001026313013,2018-06-10T00:00:00Z,GG35499,1,
Ha193,,kobi,989001026347004,2018-06-10T00:00:00Z,GG35500,1,
Ha193,,kobi,989001026346959,2018-06-10T00:00:00Z,GG33601,1,
Ha193,,kobi,989001026312995,2018-06-10T00:00:00Z,GG33602,1,
Ha194,,kobi,989001026347,2018-06-10T00:00:00Z,GG33603,1,
